period,type,start,end,sound
1,上午第一节,08:00,08:40,class_start.mp3
2,课间,08:40,08:50,class_end.mp3
3,上午第二节,08:50,09:30,class_start.mp3
4,课间,09:30,09:40,class_end.mp3
5,上午第三节,09:40,10:20,class_start.mp3
6,课间,10:20,10:30,class_end.mp3
7,上午第四节,10:30,11:10,class_start.mp3
8,课间,11:10,11:20,class_end.mp3
9,上午第五节,11:20,12:00,class_start.mp3
10,午休,12:00,14:00,class_end.mp3
11,下午第一节,14:00,14:40,class_start.mp3
12,课间,14:40,14:50,class_end.mp3
13,下午第二节,14:50,15:30,class_start.mp3
14,课间,15:30,15:40,class_end.mp3
15,下午第三节,15:40,16:20,class_start.mp3
16,课间,16:20,16:30,class_end.mp3
17,下午第四节,16:30,17:10,class_start.mp3
18,课间,17:10,17:20,class_end.mp3
19,下午第五节,17:20,18:00,class_start.mp3
20,课间,18:00,20:00,class_end.mp3
